epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3995.96,0.92017,0.93033,0.81666,0.56389,0.57614,0.59194,0.45821,0.80035,0.78425,0.81363,0.004258,0.004258,0.004258
60,4062.7,0.92607,0.93222,0.81246,0.56888,0.54595,0.60225,0.46288,0.79953,0.76677,0.8134,0.004159,0.004159,0.004159
61,4129.71,0.92396,0.92975,0.8149,0.59836,0.57036,0.60624,0.46768,0.80326,0.76202,0.81353,0.00406,0.00406,0.00406
62,4196.61,0.91874,0.90841,0.81307,0.63239,0.54634,0.60564,0.46471,0.80078,0.76629,0.81272,0.003961,0.003961,0.003961
63,4263.72,0.91565,0.91398,0.81439,0.62661,0.5457,0.60356,0.4639,0.80042,0.7755,0.81244,0.003862,0.003862,0.003862
64,4330.43,0.90546,0.88607,0.81359,0.60737,0.56131,0.61076,0.47346,0.79728,0.78121,0.81287,0.003763,0.003763,0.003763
65,4397.33,0.91508,0.89974,0.81096,0.64196,0.5666,0.60737,0.4671,0.79689,0.76907,0.81343,0.003664,0.003664,0.003664
66,4464.24,0.91169,0.89391,0.81626,0.66783,0.56836,0.62068,0.47859,0.79901,0.75604,0.81364,0.003565,0.003565,0.003565
67,4531.09,0.9096,0.89518,0.8108,0.71427,0.53853,0.62021,0.4795,0.79857,0.76305,0.81253,0.003466,0.003466,0.003466
68,4597.84,0.90607,0.87064,0.81352,0.61513,0.57486,0.62305,0.48094,0.7948,0.75966,0.81249,0.003367,0.003367,0.003367
69,4664.6,0.91306,0.87794,0.80991,0.6033,0.58358,0.62808,0.48586,0.79831,0.74427,0.81268,0.003268,0.003268,0.003268
70,4731.33,0.9,0.85798,0.81364,0.67925,0.53796,0.62419,0.4813,0.79536,0.74887,0.8118,0.003169,0.003169,0.003169
71,4798.11,0.90139,0.84165,0.81273,0.6119,0.5957,0.6323,0.48933,0.79797,0.74637,0.81168,0.00307,0.00307,0.00307
72,4864.93,0.88847,0.83539,0.81123,0.61022,0.59937,0.63057,0.48848,0.79677,0.74583,0.81101,0.002971,0.002971,0.002971
73,4931.65,0.89355,0.84012,0.81229,0.63521,0.58128,0.62827,0.48653,0.79579,0.74299,0.81069,0.002872,0.002872,0.002872
74,4998.35,0.89312,0.81924,0.81126,0.65397,0.57192,0.63125,0.48959,0.79365,0.7432,0.81046,0.002773,0.002773,0.002773
75,5065.18,0.88307,0.83587,0.80879,0.59492,0.61122,0.62951,0.48935,0.79279,0.7447,0.81012,0.002674,0.002674,0.002674
76,5132.07,0.89376,0.81614,0.8116,0.58904,0.61999,0.63481,0.49499,0.79153,0.73447,0.81044,0.002575,0.002575,0.002575
77,5198.88,0.88412,0.80605,0.81081,0.61131,0.5948,0.63533,0.49403,0.7898,0.725,0.81063,0.002476,0.002476,0.002476
78,5265.7,0.87887,0.80443,0.81142,0.66593,0.56487,0.63856,0.49554,0.78891,0.72915,0.81026,0.002377,0.002377,0.002377
79,5332.4,0.88656,0.79955,0.80699,0.61659,0.59568,0.63745,0.49393,0.78784,0.72737,0.80975,0.002278,0.002278,0.002278
80,5399.11,0.87117,0.7851,0.80563,0.60706,0.58889,0.63692,0.49363,0.79017,0.72788,0.8099,0.002179,0.002179,0.002179
